 SL NO.,Comment,Emotion
2449,"খাবার হোটেলগুলো তে কেমন তেহারি খাই সন্দেহ হচ্ছে
",Neutral
2450,", রাখে আল্লাহ মারে কে , আল্লাহ হোয়াকবার",Neutral
2451,"ভাইয়া পেইজের ইনবক্সে আপনার নাম্বার চেয়ে একটা মেসেজ পাঠিয়েছি",Neutral
2452,"ভাই আমি কি ঢাকা থেকে হাইজ নিয়ে সাজেক এ যেতে পারবো",Neutral
2453,"আচ্ছা ভাইয়া আমি যদি 2শত ডলার নেই তাহলে কতো রুপি পাবো । প্লিজ জানাবেন",Neutral
2454,"কালা খাট্টা কি বাংলাদেশে পাওয়া যায়না
",Neutral
2455,"শোনে রাখ টাইগার আমি তোকে ভালোবাসি
",Neutral
2456,"সপ্ন দিয়ে শুরু হোক আপনার বাচ্চার নতুন ভবিষ্যৎ , সাথে ধন্যবাদ পুলিশ অফিসার জাহিদুল ❤ কে , উনি প্রমান ...",Neutral
2457,"মুসলিম আমি , সংগ্রামি আমি , আমি চির রণবীর । আল্লাহকে ছাড়া কাওকে মানি না , নারায়ে তাকবীর । নারায়ে তা...",Neutral
2458,"মাছের দাম একটু বেশী আমাদের এখানকার চেয়ে",Neutral
2459,"যমুনা টেলিভিশনের নিজস্ব আন্দোলনের মাধ্যমে আমরা সবাই এই গরীর লোকটাকে তার পাওনা ফিরেপেতে চাই
",Neutral
2460,"ভাইয়া এই রেস্টুরেন্টা কোথায়
",Neutral
2461,"রেজেলার নাম শুনলে মুখে জল চলে আসে
",Neutral
2462,"বর্তমান সরকারের আমলে এরকম অসাধারণ সুন্দর পদক্ষেপে দিন দিন মুগ্ধ হচ্ছি",Neutral
2463,"ভিডিওটা ভালো লাগছে এসব ভিডিও বেশি বেশি করেন আপনার কোন হেটার থাকবে না",Neutral
2464,"দাদা আবার কবে কলকাতায় আসা হবে
",Neutral
2465,"বুয়েট নিয়ে টিম 360 অনুসন্ধানের ভিডিও দিলে আরো বহু কিছু বেরিয়ে আসবে , আমরা এমন একটা ভিডিও চাই",Neutral
2466,"প্রথমত আমি আজকে রোজা রেখেছি
",Neutral
2467,"ভারতের সবগুলো রাজ্যের ঐতিহ্যবাহি বৈচিত্র্যময় খাবারগুলো কভার করলে ভালো হয়",Neutral
2468,"সদরঘাট পাটুয়টুলীর কাশ্মীর কাচ্চি ঘরের ফুড রিভিউ দেখতে চাই
",Neutral
2469,"বিশ্বাস না হলে তার এলাকা খোজ নিয়ে দেখেন । কিছুই করে নাই । ছেলেদের চাকরিও দেননি । ভালো কোনো শিক্ষা প্...",Neutral
2470,"চ্যাংড়াবান্দা হয়ে শিলিগুড়ি তারপর দাজি ' লিং এর ভিডিওটা দারুণ লাগল । দেখান ও বলার ভংগিটাও প্রশংশনিয়",Neutral
2471,"চ্যাংড়াবান্দা হয়ে শিলিগুড়ি তারপর দাজি ' লিং এর ভিডিওটা দারুণ লাগল । দেখান ও বলার ভংগিটাও প্রশংশনিয়",Neutral
2472,"ওরে ভাই , আপনার ভিডিও দেখার অপেক্ষায় ছিলাম কয়েকদিন পর পর আপনার চ্যানেল চেক করতাম নতুন কোন ভিডিও আপলো...",Neutral
2473,"বাহ , দারুণ তো ! আমার ফেভারিট ফুড ব্লগাররা সবাই একসাথে",Neutral
2474,"কক্সবাজারের মানুষ বিরিয়ানি মানেই জানে না । তারা পোলাও এর সাথে আলাদা মাংস দিয়ে সেটাকে বিরিয়ানি বলে চা...",Neutral
2475,"জিভ যার যার , খাদ্য সবার । আমাদের জিভে একেবারে চোখ পাকিয়ে জঘন্য বলে ফেলার মতো মনে হয়নি , ঐ ইতস্তত কর...",Neutral
2476,"বাহ ! বোটের সামনে , আপনারা সিঁড়িতে ছিলেন ? খুব ভালো লাগলো জেনে : )",Neutral
2477,"প্লাইটে গেলে কি , ভিসা লাগানোর সময় উল্লেখ করতে হবে",Neutral
2478,"রাসূল ( সাঃ ) বলেছেন , যে খাবারের শুরুতে বিসমিল্লাহ বলা হয় না , সে খাবার তার জন্য হারাম , আর শয়তানের...
",Neutral
2479,"লটারি জেতার পর টাকা দেয় নাই অজুহাত দেখাল সময় শেষ হয়ে গেছে এই সব লটারি যারা ছাড়তেছে সরকারের কি নিয়ন্ত...",Neutral
2480,শুরু টাও awesome হয়ছেশেষ টাও  awesome  হয়ছে,Neutral
2481,"অনেকদিন পর এমন অসাধারণ গল্পে নির্মিত একটা নাটক দেখলাম। আর ধ্রুব টিভি বা মিউজিক স্টেশনের কথা কি বলব এই প্রতিষ্ঠানের কাজের ফ্যান হয়ে গেছি। কাজের মান ১০০ তে ১০০
 ",Neutral
2482,"তানজিন তিশা আপুর সংগে আরফান নিশো ভাইয়াএই জুটি টা আমার কাছে অসাধারন লাগে & দুই জনার সংগে মিলেও একদম পারফেক্ট ---নাটক টি সুন্দর হয়েছে-বরাবরই তানজিন তিশা আপুর  & নিশো ভাইয়ের অভিনয় আমার কাছে সেরা অভিনয়---ধন্যবাদ
 ",Neutral
2483,"ইসলামী ব্যাংকের বর্তমান অবস্থা দেখে মনে হয় শাসক হিসাবে জামাতের সাথেই আওয়ামী লীগ পারে না!",Neutral
2484,"এটা ভুলে গেলে চলবে না যে ব্যাংকটিতে নুতন পরিচালনা পর্ষদ এসেছে তাদের ব্যাংকটির সব কিছু বুঝে উঠতে একটু...",Neutral
2485,"প্রবাসী বাংলাদেশিরা চলতি অর্থবছরের (২০১৮-১৯) প্রথম ৮ মাসে ১০,৪১০ দশমিক ২৯ মিলিয়ন মার্কিন ডলার রেমিট্...",Neutral
2486,"সৌদির এটা বোঝা উচিত , ঋনগ্রস্থ দেউলিয়া দেশ পাকিস্তানের সাথে বন্দুত্ব না রেখে ইন্ডিয়ার দিকে অগ্রসর হ...",Neutral
2487,"সৌদি ১০০ বিলিয়ন মার্কিন ডলার বিনিয়োগের প্রায় পুরোটাই জ্বালানি খাতে, মুকেশ আম্বানির কপালে ভাঁজ!",Neutral
2488,"ভারতে সৌদি বিনিয়োগ হলে, সরাসরি না হলেও, আমাদের অর্থনীতিতে এর ভাল প্রভাব পড়তে পারে।",Neutral
2489,"গরীব দেশ ভারতের উচিত লম্প-জম্প বাদ দিয়ে সেনিটেশন ব্যবস্থার উন্নয়ন করা।",Neutral
2490,"ভাই সালটা হবে ২০৫০ । এর মধ্যে অনেকগুলি ফ্যাকটার রয়েছে । ১ । ২০৫০ সালে ইন্ডিয়াতে বিপুল পরিমানে মে...",Neutral
2491,"মুখে বলেছে কিন্তু ভারতে চুক্তি স্বাক্ষরিত হয়েছে মাত্র ১ বিলিয়ন ডলার যেখানে পাকিস্তান পেয়েছে ২০ বিলিয়...
",Neutral
2492,"২০২৪-এর মধ্যে চেহারা পাল্টে এমন অবস্থা হবে যে",Neutral
2493,"সালমান এর বিচার দাবি করছি সে ইসলাম এর দুস্মন",Neutral
2494,"সৌদি আমিরাত জোট মধ্যপ্রাচ্যের নব্য অস্থিরতার জন্য দায়ী।",Neutral
2495,"বাজেট নিয়ে নানা বিশেষজ্ঞ নানা ধরনের কথাবার্তা বলে চলেছেন। আমরা যারা অর্থনীতির কেতাবী তত্ত্ব বুঝি না,...
",Neutral
2496,"আর সেই লোক টার নাম গোপাল বোষ, বোস নয় কিন্তু",Neutral
2497,"হিউম্যান রাইট ওয়াচ, নিউইয়র্ক টাইমস যখন অযথা বাংলাদেশ সরকারের সমালোচনা করে তখন তখন তো খুসিতে লাফালাফি",Neutral
2498,বাংলাদেশের মাথাপিছু ঋণ অথবা জিডিপি অনুপাতে ঋণের পরিমাণ উভয়ই পার্শ্ববর্তী যে কোনো দেশের থেকে কম। ,Neutral
2499,বাংলাদেশ কত টাকা লোণে আছে? প্রতিটি মানুষের মাথাপিছু লোণ কত তা কি আমাদের জানার উপায় আছে?,Neutral
2500,র্বরোগের এক ডায়লগ! বিদেশীদের স্বার্থ তো আছেই। তাঁদের বিনিয়োগের জায়গা দরকার।,Neutral
2501,"যারা শতভাগ পেনসন না তুলে মাসিক পেনসন রেখেছেন,তারা শতভাগ পেনসন তুললে যে টাকা পেতেন তা তাদের দেয়া হোক।",Neutral
2502,"এখন কি তাহলে আমরা স্বল্পোন্নত দেশ, নাকি উন্নয়শীল দেশসাংবাদিকদের এমন প্রশ্নের",Neutral
2503,অন্তত আমি ও আমার চারপাশের মানুষদের মধ্যে অর্থনৈতিক উন্নতির কোন লক্ষণ দেখতে পাচ্ছিনা।,Neutral
2504,"সরকারের বৈদেসিক মুদ্রা বেসি হয় গেছে।",Neutral
2505,"আমদানি মূল্য প্রায় ৩ কোটি টাকা, কাস্টমস এবং বাজারজাতকরণ খরচ যোগ করে মোট মূল্য প্রায় ৫-৬ কোটি টাকা ",Neutral
2506,"আমার কাছে তো মনে হয়, প্রতিবেদন ৯০% ঠিক বলছে",Neutral
2507,"কোন অর্থে কম? আপনি যদি কোন বেসরকারি প্রতিষ্ঠানে চাকরি করতে যান, প্রথমে আপনার মাস্টার্স পর্যন্ত পড়াশো...
",Neutral
2508,"এটা সবাই জেনেই চাকুরী নেয়। মজুরী কম বলে দাম কম নেয়া যাওয়ার কারনে উৎপাদন বেশী করা যায় এতে অডার বেশী হ...",Neutral
2509,"প্রতিবেদন আর বাস্তবতা ভিন্ন, নতুন কোন কর্মব্যবস্হা না সৃষ্ট করে প্রতিযোগি করা যাবে না।",Neutral
2510,"জনগণের টাক্স ও ভ্যাটের ২২ পারসেন্ট খেয়ে ফেলে সরকারী কর্মচারীরা - বেতন ও তাদের বিনোদন বাবদ। তারপরও ত...",Neutral
2511,"এই বাজেটের সবচেয়ে উল্লেখযোগ্য দিক হল যিনি বাজেট ঘোষনা দিলেন তাঁর তা বাস্তবায়নের কোন দায় নেই।",Neutral
2512,আর আমাদের চারপাশে যারা সরকারী চাকরী পায় তারা কতটা দক্ষতার পরীক্ষা দিয়ে চাকরী পেয়েছে তা শুনা যায়না।,Neutral
2513,"আমাদের গতানুগতিক পুঁথিগত বিদ্যাই এই বিশাল বেকারত্বের একমাত্র কারণ। সামাজিক দৃষ্টিভঙ্গিও অনেকটা দায়ী।",Neutral
2514,"সাধারণ জনগণের টাকায় অতি বিলাসিতা ভালো না। মাসিক ভাতার ৫০ হাজার টাকা যে ৫০০ সাধারণ মানুষের ভাতের টাকা...",Neutral
2515,"এভাবে গাড়ি আমদানি করার জন্য সুদ বিহীন ঋন দেশে গাড়ির সংখ্যা বৃদ্ধি করবে। বর্তমানে দেশে যত গাড়ি আছে তা...",Neutral
2516,"ভাই অ্যাডমিন ক্যাডার কম মেধাবী ও যোগ্যতাসম্পন্ন?? পৃথিবীর প্রতিটি দেশেই অ্যাডমিনিষ্ট্রাশনের মূল্যায়ন...",Neutral
2517,"এক পাতি নেতা আবদুল হাই বাচ্চু যদি কমপক্ষে ৮০০ কোটি টাকা (১০০ কোটি টাকার ৮টি জাহাজ) হরিলুট করতে পারে ...
",Neutral
2518,"হাইরা ব্যাংক ডুবিয়ে জাহাজ ভাসাবে, আর তাদের ছায়াদানকারীরা দেশ ডুবিয়ে নৌকা ভাসাবে।",Neutral
2519,"সৌদী যুবরাজ মুহাম্মদ বিন সালমান।বাদশাহ সালমান তার পিতা।
",Neutral
2520,"বিনিয়োগ করবে সৌদি সরকার, টাকা ওদের আর মাথা ব্যথা হইছে আদার বেপারীদের, কি আজব",Neutral
2521,"অন-নেট 25 পয়সা পয়সা অফ-নেটঃ 45 পয়সা করা দরকার",Neutral
2522,"কত সেকেন্ড পালস সেটা তো পরিস্কার না। যাই বলেন না কেন প্রকৃতপক্ষে খরচ বাড়ছে। আগে তো বাংলালিংক এ ৯ সেক...",Neutral
2523,"সরকারের লক্ষ্য রাখা উচিত যেন দেশে এল-পি-জি সাপ্লাই একটামাত্র মনোপলির হাতে না পড়ে, তা না হলে ভক্তাদের...",Neutral
2524,"বেসরকারি খাতের ফারমার্স ব্যাংক সহ প্রিমিয়ার, এনআরবি ব্যাংককে ব্যাংক পরিচালনায় ব্যর্থতার দায়ে",Neutral
2525,"এনআরবি কোনটি?এনআরবি ব্যাংক?এনআরবি গ্লোবাল ব্যাংক? নাকিএনআরবি কমার্শিয়াল ব্যাংক?
",Neutral
2526,"বাংলাদেশ ব্যাংকের সাবেক গভর্নর আতিউর রহমান ওনার সময় গ্রাহকদের ব্যাংক এর উপর অনেক অনেক আস্থা ছিল",Neutral
2527,"ব্যাংকিং খাতের সবচেয়ে বড় চমক উপহার দেবে চট্রগ্রামের সেই বিখ্যাত গ্রুপ, যারা একের পর এক ব্যাংক কিনে",Neutral
2528,এই সংবাদ পড়ার পর ব্যংকে টাকা আছে এমন লোকেরা নিশ্চিত আতংকে থাকবেন।,Neutral
2529,"অর্থ মন্ত্রণালয়ের প্রতিবেদনটির ওয়েব লিংক এখানে থাকলে ভাল হতো, যাই হোক, ধন্যবাদ।",Neutral
2530,"সরকার সব করে কিন্তু স্বর্ন কেন বৈধ্য ভাবে আনার ব্যবস্থা করে না !",Neutral
2531,"ঋন কেন? গৃহই দেয়া হোক",Neutral
2532,"ব্যাংকের লক্ষ কোটি টাকা লুটেপুটে খাচ্ছেন,আদায় করতে পারেন না, ট্যাক্স চান কোন লজ্জায় ?",Neutral
2533,সব ব্যাংকই জেনেশুনে কাগজপত্র যথানিয়মে জমা করে তারপর ঋণ দেয় কিন্তু দেয়ার পরই তা খেলাপী হয়ে যায়।,Neutral
2534,"আমাদের এইটুকুতেই আনন্দিত হতে হবে।",Neutral
2535,"থলের বিড়াল বেরিয়ে যাবে, এসব বলেন কেনো?",Neutral
2536,"তরমুজ আমার পছন্দের। আর সিলেটের গোয়াইন ঘাট অপরুপ স্থান।",Neutral
2537,"অজুহাত আগেই তৈরি ছিল আজ তা প্রকাশ করা হলো মাত্র! জনসাধারনকে জিম্মি করে রড ব্যবসায়ীরা পকেট ভরছে আর সর...",Neutral
2538,আপনাদের পোষাক দেখে আর পোষাকী ভাষা শুনে মনে হয় আপনারা দেশেই থাকেন না,Neutral
2539,"বৈষম্য বৃদ্ধিতে বাংলাদেশ যেন পূর্ব ও পশ্চিম দিকে ভাগ হয়ে গেছে। পূর্ব দিকে আছে ঢাকা,",Neutral
2540,এত পুরনো গাড়ি গুলো এখনো কোন কোন ক্রেতা টাকা দিয়ে কিনতে চাচ্ছেন জেনে অবাক হচ্ছি।,Neutral
2541,"জনতা ব্যাংকের কার্যক্রম শুরু হয় ১৯৭২ সালে, বাংলাদেশ আমলের অন্যতম প্রাচীন এবং স্বনামধন্য ব্যাংক ",Neutral
2542,ব্যাংকের আইনের কাঠগড়ায় দাঁড় দ্বয়িত্ব অবহেলা করার জন্য আইনের কাঠ গড়ায় দাঁড় করানো হোক,Neutral
2543,ঐসব দেশে পরিবার প্রথা ভেঙ্গে গেছে। আমাদের দেশের অবহেলিত গরীব জনগোষ্ঠী এখন আমাদের সম্পদ।,Neutral
2544,"যে কোন ব্যাক্তি যোগদিতে পারবে.অামি কমিটিতে থাকতে চাই",Neutral
2545,"এটি স্বাধীনতা চিকিৎসা পরিষদের মতই",Neutral
2546,"বিজিএমইএ কখনই শ্রমিক স্বার্থ নিয়ে কাজ করেনা, আর এটাই তাদের ধ্বংসের কারন হবে।",Neutral
2547,ভ্যাট ট্যাক্সের যাঁঁতাকলে দেশের অর্থনৈতিক অবস্থা এমন কঠিন করে দেয়া হয়েছে এখন বাড়তি বেতন,Neutral
2548,সবাইকে অনুরোধ করছি কেউ ফাঁদে পা দিবেন না। আমি গত ১১.১১.১৮ তে একটি প্রোডাক্ট অর্ডার করেছি এখন,Neutral
2549,"গণিতে ফেল করা ছাত্রদের গণিতে আস্থা কম থাকে।",Neutral
2550,সরকারের কাছে আমার অনুরোধ থাকবে টাকার উপর ষ্টেপলার পিন মারার পদ্ধতিটা দয়াকরে বন্ধ করার পদক্ষেপ নিন,Neutral
2551,"অ্যালায়েন্স না থাকলেও যেন শ্রমিকদের স্বার্থ সুরক্ষিত থাকে তার জন্য দৃশ্যমান কোন ব্যবস্থা গড়ে তোলা উচ...",Neutral
2552,"বাংলাদেশীরা প্রচুর ভাত খায় আর ঘুমায় এই কারনে তারা প্রচন্ড অলস ও গায়ে জোর কম।এরা বিশ্বাস করে মুখ দিয়ে...",Neutral
2553,"জাতির বিবেকের কাছে বিনীত প্রশ্নঃ- ২০০৬ সালের ১,৮০,০০০ টাকার মূল্য আজ ২০১৮ সালে কত টাকা ?",Neutral
2554,"সৌদি আরব নিজেদের লাভের জন্য এমনিতেই বাংলাদেশে বিনিয়োগ করবে, কারন দক্ষিণ এশিয়ায় একমাত্র বাংলাদেশেরই",Neutral
2555,ডাউনপেমেন্ট এর শর্ত শিথিল পূর্বক সকল খেলাপি ঋণ পাঁচ বছরের গ্রেস পিরিয়ডসহ আগামী দশ বছরের জন্য ,Neutral
2556,"সরকার পরিবর্তন হলে দুর্নীতির বিচার হবে",Neutral
2557,"মোবাইলের ডাটা থে‌কে বাইক মূল্য নির্ধার‌নের এলা‌হি কারবার যে যার মত লাভ ওঠা‌চ্ছে, সরকার",Neutral
2558,"ভারতের ওয়ানটাইম গাড়ির গার্বেজে দেশ পূর্ণ হবার তালে।পরিকল্পনাগুলো সফল হোক।",Neutral
2559,বাংলাদেশ সবসময় এ জায়গাটিতেই ভুল করে। রপ্তানি প্রণোদনা দেয়া উচিত ইনোভেটিভ এবং নতুন টেকনোলজি ব্যবহার,Neutral
2560,শেষ পর্যন্ত জিততে পারলে ভালো হতো।,Neutral
2561,আগামী ম্যাচগুলোর জন্য আরও ভালো প্রস্তুতি নিতে হবে।,Neutral
2562,সমর্থক হিসাবে আমরা গর্বিত।,Neutral
2563,খেলোয়াড়দের প্রচেষ্টা সত্যিই প্রশংসার দাবিদার।,Neutral
2564,আগামী ম্যাচগুলোর জন্য আরও ভালো প্রস্তুতি নিতে হবে।,Neutral
2565,রেফারির কিছু সিদ্ধান্ত বিতর্কিত হয়েছে।,Neutral
2566,আক্রমণভাগের খেলোয়াড়রা সুযোগগুলো ভালোভাবে কাজে লাগাতে পারেনি।,Neutral
2567,মিডফিল্ডের লড়াই দেখার মতো ছিল।,Neutral
2568,"উত্তেজনাপূর্ণ ম্যাচ, শেষ মুহূর্ত পর্যন্ত জিততে পারত যেকোনো দল।",Neutral
2569,"র্ভাগ্যবশত, একজনই চ্যাম্পিয়ন হতে পারে।",Neutral
2570,"খেলাটা দেখে মনে হলো, ফুটবল এমনই হওয়া উচিত।",Neutral
2571,কোনো দলকেই ছোটো করে দেখা যায় না।,Neutral
2572,"ফুটবলের সৌন্দর্য এটাই যে, যেকোনো কিছুই হতে পারে।",Neutral
2573,"আপনার পোস্ট দেখে মনে হচ্ছে, আপনি সব সময়ই নিজেকে নতুন করে তৈরি করতে চান। এই ধরনের ইতিবাচক উদ্যোগ সত্যিই প্রশংসনীয়।",Neutral
2574,আপনার কাজের প্রতি আপনার দায়িত্ববোধ এবং নিষ্ঠা সবসময়ই আমাদের অনুপ্রেরণা জোগায়।,Neutral
2575,"আপনার ব্যক্তিজীবন এবং কর্মজীবনের সুন্দর সমন্বয় দেখে মনে হয়, আপনি জীবনের সঠিক পথে আছেন।",Neutral
2576,"আপনার সোশ্যাল মিডিয়া ব্যবহারের ধরন দেখে মনে হয়, আপনি মানুষের সাথে যোগাযোগ রাখতে পছন্দ করেন। এটি সত্যিই প্রশংসনীয়।",Neutral
2577,আপনার প্রতিভা এবং পরিশ্রমের ফল হিসেবেই আপনি আজ এই অবস্থানে পৌঁছেছেন। আপনার সাফল্যের জন্য অসংখ্য শুভকামনা।,Neutral
2578,আপনার পোস্টগুলো সব সময়ই একটি ইতিবাচক বার্তা বহন করে। আপনার এই ধরনের উদ্যোগ সত্যিই প্রশংসনীয়।,Neutral
2579,"আপনার ব্যক্তিত্ব এবং আচার-আচরণ দেখে মনে হয়, আপনি একজন সুন্দর মানুষ।",Neutral
2580,আপনার কাজের প্রতি আপনার দৃষ্টিভঙ্গি অন্যদের জন্য অনুসরণ করার মতো।,Neutral
2581,"আপনার ফ্যান ফলোয়িং দেখেই বোঝা যায়, আপনার কত জনপ্রিয়তা।",Neutral
2582,আপনার জীবনের সাফল্য গল্প অনেকের জন্য অনুপ্রেরণার উৎস হতে পারে।,Neutral
2583,ভারতে যে সেবার খরচ ৪ রুপি বা বাংলাদেশী টাকায় ৪টাকা ৬০ পয়াসা (আজকের ভারতীয় মুদ্রার বাংলাদেশী টাকা দরে,Neutral
2584,"আমাদের দেশ ভারতের থেকে অনেক ছোট আয়তনে, তাই বিনিয়োগ অনেক কম করতে হয় টাওয়ার বসানোর জন্য",Neutral
2585,‘আমরা তো একতরফা নির্বাচন করিনি। একটা বেকুব (ইডিয়ট) দলের কারণে এটা হয়েছে। আমরা তাদের আমন্ত্রণ জানিয়েছ,Neutral
2586,কোন দলের কারনে একতরফা ভোট হলো ? ১৫৩ আসনে আওয়ামী লীগের যারা স্বতন্ত্র হিসেবে দাডিয়েছিল এবং জাপা থেকে,Neutral
2587,@আন্দালিব না তবে নিয়ম রক্ষার নির্বাচন বলে নিয়মের ব্যত্যয় ঘটিয়েছেন।সত্য হল একটি দল এদেশের গণতন্ত্র,Neutral
2588,বিএনপি আর তার সমর্থকেরা কি ৫ই জানুয়ারীর ধংসাত্বক নির্বাচন বর্জন থেকে শিক্ষা নিয়েছে?,Neutral
2589,"আ.লীগ একতরফা নির্বাচন করে ১৫৩ আসনে ভোট না করে সরকার গঠন করে ইতিহাসের পাতায় আজীবন ব্যাকুব হয়ে থাকবে।",Neutral
2590,"কি করে সম্ভব বলেন ? আমাদের জিডিপি কতো ? মূল্যস্ফীতি আর অর্থনৈতিক প্রবৃদ্ধি এর স্প্রীড কতো?",Neutral
2591,"সরকারের বন্ডের সবচেয়ে বড় ঋণগ্রহীতা হয়ে উঠেছে ফার্স্ট সিকিউরিটি, আল",Neutral
2592,আরব শেখদের নেক নজর জামাতিদের উপর থেকে সরে যাওয়ার পরপরই এই ব্যাংকের অবস্থা খারাপ হতে শুরু করে।,Neutral
2593,আপনি অশিক্ষিত ও গৃহকর্মী হয়ে যাবেন কেন ?আপনার নিজের পছন্দ আর যোগ্যতা থাকলে যাবেন কেন ?,Neutral
2594,"সিরিয়ার পরেই আমরা দ্বিতীয় প্রবৃদ্ধি অর্জনের ক্ষেত্রে!",Neutral
2595,"২-৩ এডি যখন এই চোট্টামিতে যুক্ত থাকে, তখন তো তদন্ত হবেই ইয়োর অনার এতো রেগে যাচ্ছেন কেনো",Neutral
2596,"টেলিনর বাংলাদেশেও একই কাজ করে একটেল, সিটিসেল মোবাইল কোম্পানীকে বন্ধ করেছে। আওয়ামীলীগ সরকার বিশেষ সুব",Neutral
2597,"শেষ এবং টাকা উদ্ধার দেখার অপেক্ষায় আছি।",Neutral
2598,"আপনি কি সত্যিই জেনে বোঝে কথাটা বলেছেন?",Neutral
2599,"তাহলে দার্জিলিং যেতে পারব সহজে।",Neutral
2600,"অপসারণের নামে আসলে এদের সবাইকে নিরাপদ প্রস্থানের সুযোগ করে দেয়া হচ্ছে।",Neutral
2601,"দেশের বেশীর ভাগ ব্যাংকের এমডি ডিএমডি জিএম এজিএমরা বড় বড় আর্থিক দূর্নীতিতে জড়িত।সরকারকে ধন্যবাদ এই সব...",Neutral
2602,সুন্দর কর আদায়ের সিস্টেম উন্নত দেশগুলোর একটি অন্যতম উল্লেখযোগ্য বিষয় ইউরোপের যে কোন দেশের,Neutral
2603,দেশের অভ্যন্তরে কোন রাঘববোয়াল এবং বাংলাদেশ ব্যাংকের কারা কারা জড়িত তাদের গ্রেফতার করে প্রথমে চার্জশী...,Neutral
2604,কেন্দ্রীয় ব্যাঙ্কের রিজার্ভ চুরির সাথে জড়িত বাংলাদেশ ব্যাঙ্কের ক্রিমিনালদের বিরুদ্ধে আইনানুগ ব্যবস্থ,Neutral
2605,আপনি সম্ভবত রান্না করেন না। করলে বুঝতেন যে বাঙালির রান্নার সবচেয়ে বেশি ব্যবহৃত উপাদান পেঁয়াজ।,Neutral
2606,আর বেবিট্যাক্সি( সি এনজি) চালকরা (মিটার ব্যবহার করতে ইচ্ছুক) যাত্রীদের কাছ থেকে দিগুণ ত্রিগুণ ভাড়া,Neutral
2607,এখানে ট্যাক্স না ভ্যাটের কথা বলাহচ্ছে।,Neutral
2608,"ভাই! রাশিয়ান প্লেন আমারতো ডর করতাছে",Neutral
2609,প্রাণিসম্পদ অধিদপ্তরের তথ্যমতে শিক্ষিত বেকার যুবকেরা এখন গবাদিপশুর খামার করছেন। গরু ও মাংস আমদানি না,Neutral
2610,"দেশের বাকি ব্যাংকগুলো যদি এর চেয়ে ভালো চলত তাহলে আপনার যুক্তি মেনে নেয়া যেত।",Neutral
2611,"তাহলে এ থেকে পাবলিক কী শিক্ষা নিতে পারে!",Neutral
2612,শুধু একটা কাজ করেন। বিকাশ বন্ধ করে দেন। অথবা বিকাশের মাধ্যমে ওয়েষ্টার্নের মতো টাকা পাঠানোর সিষ্টেম,Neutral
2613,"কেন? এম ডি ছাড়া কি ব্যাঙ্ক চলছে না? চলতেছে, চলুক যতদিন সম্ভব। এম ডি একটা পদের নাম।",Neutral
2614,"আমারে দেখতে পায়না আমিতো এমডি",Neutral
2615,"সমুদ্রগামী কোনো জাহাজ জেটিতে ভেড়ানোর জন্য প্রথমে দরকার হয় জাহাজ চলাচলের নৌপথ।",Neutral
2616,"পায়রা বন্দরের ৫ বছরের অসমাপ্ত কাজ সমাপ্ত করার সুযোগ নিন, নৌকা মার্কায় ভোট দিন।",Neutral
2617,"আমার হাতে এখনও অনেক সময় বাকি আছে
",Neutral
2618,"কিছু করার নাই ,আমার হাতে সময় আছে????
",Neutral
2619,"এটা কি সব সিম এর ক্ষেত্রে প্রযোজ্য????না শুধু গ্রামীণফোন???",Neutral
2620,কি মিয়া রিটার্ন নিবেন অবসর জীবনে পেনশানের ব্যবস্থা করবেন না। নাকি টাকা কামাই করতে না পারলে,Neutral
2621,"এত আয়োজন তবে কীসের জন্য?",Neutral
2622,"ইন্ডিয়ার পজিশনটা কি?",Neutral
2623,"আমরা উৎসব প্রিয় জাতি। তাই অত আগপিছ ভাবিনা। তা ছাড়া সামনে নির্বাচন।",Neutral
2624,"ছবির ব্যক্তিকে না হয় খুব কষ্ট করে চিনে নিলাম",Neutral
2625,"শুধুমাত্র ৫% ঘাটতি বাজেট হিসেব করলেই কি হবে এর সাথে মূল্যস্ফিতী আছে, আর বিবেচনায় নিতে হবে ডলা",Neutral
2626,"এখানে প্রবৃদ্ধির কথা বলা হয়েছে, প্রবৃদ্ধির সাথে অর্থনীতির আকারের কোন সম্পর্ক নেই।",Neutral
2627,"বিস্তারিত ব্যাখ্যা করলে কৃতার্থ হই?
",Neutral
2628,"বিশ্বব্যাংকের মতো রক্ষণশীল প্রতিষ্ঠান বাংলাদেশকে ইতিবাচক হিসেবে উপস্থাপন করছে, এটা বিরল ঘটনা।",Neutral
2629,"যাদের অর্থনীতির আকার ছোট তাদের জিডিপি বেশি হলেও অন্যদের চেয়ে কমই থাকে।",Neutral
2630,"যে দেশে সবচেয়ে ধনী ১% লোকের সম্পদ এবং সবচেয়ে দরিদ্র ১% লোকের সম্পদের পার্থক্য যত বেশি,",Neutral
2631,"বিশ্বব্যাংকের অতি দরিদ্রের খবরটি বিএনপি–জামাতিদের কাছে মধুর মত, কিন্তু একই বিশ্বব্যাংকের",Neutral
2632,"এই তালিকায় বাংলাদেশ আপনার পেয়ারে পাকিস্তান চেয়ে উপরে কেমনে হল?!",Neutral
2633,"নারী অধিকার ঠিকই পশ্চিমে প্রতিষ্ঠা পাবে
",Neutral
2634,"সাধু সাবধান! শ্রমিক ন্যায্য মজুরী পাক আমরা সবাই চাই। কিন্তু এই সব করে করে যদি গার্মেন্স ব্যাবসাই বন্...",Neutral
